iteration_count	ifmap_h	ifmap_w	k	c_in	f_out	filter_count	channel_count	valid	dram	weight	psum	ifmap	pe_util	latency	sim_time
168	4	24	1	8	16	7	9	PASS	2493	441	3072	3072	0.68	316000	56
169	4	24	1	16	16	7	9	PASS	3450	819	6144	6144	0.68	607000	93
170	4	24	1	32	16	7	9	PASS	5364	1575	12288	12288	0.68	1189000	169
171	4	24	1	64	16	7	9	PASS	9192	3087	24576	24576	0.68	2353000	318
172	4	24	1	128	16	7	9	PASS	16659	5733	46080	49152	0.72	4390000	594
173	4	24	1	256	16	7	9	PASS	31593	11025	89088	98304	0.75	8464000	1172
174	4	24	1	512	16	7	9	PASS	61461	21609	175104	196608	0.76	16612000	2322
175	4	24	1	1024	16	7	9	PASS	121386	43155	350208	393216	0.76	33199000	4735
176	4	24	1	1	32	7	9	PASS	3483	693	6144	576	0.11	510000	92
177	4	24	1	2	32	7	9	PASS	3579	693	6144	1152	0.21	510000	84
178	4	24	1	4	32	7	9	PASS	3771	693	6144	2304	0.41	510000	89
179	4	24	1	8	32	7	9	PASS	4155	693	6144	4608	0.81	510000	96
180	4	24	1	16	32	7	9	PASS	5238	1323	12288	9216	0.81	995000	162
181	4	24	1	32	32	7	9	PASS	7404	2583	24576	18432	0.81	1965000	291
182	4	24	1	64	32	7	9	PASS	11736	5103	49152	36864	0.81	3905000	554
183	4	24	1	128	32	7	9	PASS	20085	9513	92160	73728	0.87	7300000	1010
184	4	24	1	256	32	7	9	PASS	36783	18333	178176	147456	0.9	14090000	1963
185	4	24	1	512	32	7	9	PASS	70179	35973	350208	294912	0.91	27670000	3847
186	4	24	1	1024	32	7	9	PASS	137286	71883	700416	589824	0.91	55315000	7719
187	4	24	1	1	64	7	9	PASS	6870	1323	12288	1056	0.11	995000	179
188	4	24	1	2	64	7	9	PASS	6966	1323	12288	2112	0.21	995000	166
189	4	24	1	4	64	7	9	PASS	7158	1323	12288	4224	0.41	995000	172
190	4	24	1	8	64	7	9	PASS	7542	1323	12288	8448	0.81	995000	183
191	4	24	1	16	64	7	9	PASS	8940	2583	24576	16896	0.81	1965000	309
192	4	24	1	32	64	7	9	PASS	11736	5103	49152	33792	0.81	3905000	555
193	4	24	1	64	64	7	9	PASS	17328	10143	98304	67584	0.81	7785000	1038
194	4	24	1	128	64	7	9	PASS	27882	18963	184320	135168	0.87	14575000	1949
195	4	24	1	256	64	7	9	PASS	48990	36603	356352	270336	0.9	28155000	3692
196	4	24	1	512	64	7	9	PASS	91206	71883	700416	540672	0.91	55315000	7264
197	4	24	1	1024	64	7	9	PASS	176268	143703	1400832	1081344	0.91	110605000	14761
198	4	24	1	1	128	7	9	PASS	13581	2457	24576	1920	0.11	1868000	358
199	4	24	1	2	128	7	9	PASS	13677	2457	24576	3840	0.22	1868000	322
200	4	24	1	4	128	7	9	PASS	13869	2457	24576	7680	0.43	1868000	334
201	4	24	1	8	128	7	9	PASS	14253	2457	24576	15360	0.85	1868000	356
202	4	24	1	16	128	7	9	PASS	16218	4851	49152	30720	0.85	3711000	588
203	4	24	1	32	128	7	9	PASS	20148	9639	98304	61440	0.86	7397000	1057
204	4	24	1	64	128	7	9	PASS	28008	19215	196608	122880	0.86	14769000	1994
205	4	24	1	128	128	7	9	PASS	42531	35973	368640	245760	0.91	27670000	3685
206	4	24	1	256	128	7	9	PASS	71577	69489	712704	491520	0.94	53472000	7042
207	4	24	1	512	128	7	9	PASS	129669	136521	1400832	983040	0.96	105076000	13809
208	4	24	1	1024	128	7	9	PASS	247050	272979	2801664	1966080	0.96	210127000	27470
209	4	24	1	1	256	7	9	PASS	27003	4725	49152	3648	0.11	3614000	710
210	4	24	1	2	256	7	9	PASS	27099	4725	49152	7296	0.22	3614000	653
211	4	24	1	4	256	7	9	PASS	27291	4725	49152	14592	0.44	3614000	675
212	4	24	1	8	256	7	9	PASS	27675	4725	49152	29184	0.88	3614000	717
213	4	24	1	16	256	7	9	PASS	30774	9387	98304	58368	0.88	7203000	1187
214	4	24	1	32	256	7	9	PASS	36972	18711	196608	116736	0.88	14381000	2091
215	4	24	1	64	256	7	9	PASS	49368	37359	393216	233472	0.88	28737000	3950
216	4	24	1	128	256	7	9	PASS	71829	69993	737280	466944	0.94	53860000	7188
217	4	24	1	256	256	7	9	PASS	116751	135261	1425408	933888	0.97	104106000	13777
218	4	24	1	512	256	7	9	PASS	206595	265797	2801664	1867776	0.99	204598000	28293
219	4	24	1	1024	256	7	9	PASS	388614	531531	5603328	3735552	0.99	409171000	53268
220	4	24	1	1	512	7	9	PASS	53910	9387	98304	7200	0.11	7203000	1489
221	4	24	1	2	512	7	9	PASS	54006	9387	98304	14400	0.22	7203000	1313
222	4	24	1	4	512	7	9	PASS	54198	9387	98304	28800	0.44	7203000	1351
223	4	24	1	8	512	7	9	PASS	54582	9387	98304	57600	0.88	7203000	1427
224	4	24	1	16	512	7	9	PASS	60012	18711	196608	115200	0.88	14381000	2339
225	4	24	1	32	512	7	9	PASS	70872	37359	393216	230400	0.88	28737000	4166
226	4	24	1	64	512	7	9	PASS	92592	74655	786432	460800	0.88	57449000	7824
