ifmap_h,ifmap_w,kernel,c_in,f_out,arch_filter_count,arch_channel_count,valid,dram,weight,psum,ifmap,pe_util,latency,sim_time
33,33,3,1,8,9,9,PASS,8858,243,24056,2178,0.9,1181000,220
26,26,3,256,8,32,18,PASS,251392,148032,1282560,346112,0.25,87876000,10126
33,33,3,16,256,9,9,PASS,301024,75249,8626432,522720,0.98,510018000,22098
127,127,3,2,2,9,9,PASS,63670,405,158250,64516,0.23,32548000,1898
7921,1,1,128,1,9,9,PASS,1023024,2511,237630,2027776,0.11,118855000,19561
117,117,3,4,32,9,9,PASS,479252,2673,3867680,273780,0.89,219434000,15042
26244,1,1,1,32,12,27,PASS,867024,2268,1679616,104976,0.033,78778000,19088
1849,1,1,2,4,12,27,PASS,11418,972,14792,7396,0.033,1893000,251
51,51,3,64,2,32,18,PASS,189698,37440,324674,332928,0.064,83670000,8511
107,107,3,1,32,12,27,PASS,365221,2268,1071840,45796,0.29,34607000,8439
143,143,3,16,16,12,27,PASS,649168,8100,4189392,981552,0.58,245810000,30061
13456,1,1,16,8,32,18,PASS,323520,1728,215296,430592,0.22,13491000,6101
34,34,1,16,512,32,18,PASS,619584,19008,1183744,314432,0.87,18546000,12306
50176,1,1,16,16,32,18,PASS,1606208,1728,1605632,1605632,0.44,50211000,31674
21,21,3,16,4,32,18,PASS,13108,9792,26980,14112,0.14,3666000,475
49,49,1,256,2,12,27,PASS,622698,6804,96040,1229312,0.16,24063000,10939
165,165,3,1,32,32,18,PASS,878009,1728,2571488,54450,0.49,27581000,18000
150,150,1,3,2,32,18,PASS,113076,1728,90000,135000,0.011,22535000,3009
37,37,3,128,128,9,9,PASS,487552,311121,42591360,2803712,0.95,2647770000,98769
26,26,3,64,16,32,18,PASS,70912,37440,648192,86528,0.49,22020000,3237
175,175,1,16,1,32,18,PASS,521201,1728,61250,980000,0.028,30660000,10090
219,219,3,3,4,32,18,PASS,333391,2880,948724,287766,0.098,96396000,12699
400,1,1,64,256,32,18,PASS,146432,37440,819200,230400,0.87,12866000,3502
53,53,1,256,64,32,18,PASS,916160,35136,5393280,2157312,0.93,84334000,24941
2500,1,1,32,2,12,27,PASS,85648,1620,20000,160000,0.1,5045000,1544
15876,1,1,4,64,32,18,PASS,1080720,2880,2032128,190512,0.21,31788000,21281
210,210,3,4,8,9,9,PASS,522836,729,3141632,352800,0.89,176876000,14060
73,73,3,2,1,12,27,PASS,16023,972,15407,21316,0.081,5501000,729
22,22,1,16,64,9,9,PASS,40016,2673,123904,69696,0.79,7785000,778
2704,1,1,3,256,9,9,PASS,702685,4779,1384448,243360,0.33,78470000,13944
58,58,1,16,8,12,27,PASS,81060,972,53824,107648,0.39,3408000,1444
1296,1,1,512,64,9,9,PASS,783432,73953,9455616,5971968,0.89,591457000,30929
184,184,3,4,4,32,18,PASS,269072,2880,668304,270848,0.13,68116000,9743
114,114,3,2,64,12,27,PASS,830752,4212,2437120,181944,0.58,78280000,20508
36481,1,1,1,16,32,18,PASS,620753,1728,1167392,72962,0.028,36516000,13043
12769,1,1,8,32,12,27,PASS,511732,2268,817216,408608,0.26,38353000,10860
12,12,1,256,8,12,27,PASS,41256,6804,23040,73728,0.63,1493000,614
75,75,3,1,8,32,18,PASS,48833,1728,130232,11250,0.15,5801000,1255
86,86,1,64,8,32,18,PASS,534816,5184,473344,946688,0.22,29622000,10782
4225,1,1,32,1,32,18,PASS,140577,2880,16900,270400,0.029,8486000,2637
124,124,3,4,2,32,18,PASS,92424,2880,150792,123008,0.07,31036000,3658
131,131,3,16,2,12,27,PASS,309802,4212,438858,549152,0.15,103304000,11306
16,16,3,64,8,32,18,PASS,36384,37440,116256,32768,0.25,8560000,1096
74,74,3,64,64,12,27,PASS,725008,85860,15335424,2453248,0.85,724316000,69965
45,45,3,1,2,32,18,PASS,6299,1728,11438,4050,0.073,2141000,306
156,156,3,4,2,12,27,PASS,145424,1620,239624,194688,0.12,49020000,5043
60,60,3,4,256,32,18,PASS,884800,19008,4424704,129600,0.98,57896000,23133
18,18,1,128,4,32,18,PASS,47376,9792,20736,82944,0.11,2634000,880
1936,1,1,256,32,9,9,PASS,566964,18873,3593216,2478080,0.87,224717000,16932
19,19,1,8,32,12,27,PASS,15412,2268,23104,11552,0.27,1129000,461
91,91,1,8,8,12,27,PASS,132820,972,132496,132496,0.2,8325000,2682
44,44,3,8,128,9,9,PASS,251000,19521,4010496,247808,0.95,233624000,12147
189,189,3,16,4,32,18,PASS,716020,9792,2401828,1143072,0.13,286242000,34616
150,150,1,1,16,12,27,PASS,383148,1620,720000,67500,0.025,45045000,8630
125,125,3,4,16,12,27,PASS,305860,2916,1226064,187500,0.44,62806000,9862
72,72,3,2,8,12,27,PASS,49892,972,119840,20736,0.45,5354000,1231
218,218,1,2,1,32,18,PASS,143148,1728,95048,190096,0.0037,47559000,5262
21,21,1,128,64,12,27,PASS,94392,19764,282240,395136,0.83,13303000,2491
59,59,3,1,256,9,9,PASS,837574,4779,2553600,104430,0.98,101373000,17761
111,111,3,2,16,32,18,PASS,215314,1728,577264,49284,0.5,12569000,4930
44,44,3,16,2,32,18,PASS,39112,9792,62664,61952,0.068,15672000,1763
159,159,1,1,4,32,18,PASS,126981,1728,202248,50562,0.0074,25316000,3549
12,12,1,3,1,32,18,PASS,1152,1728,288,864,0.073,179000,93
183,183,3,1,32,12,27,PASS,1082813,2268,3168224,133956,0.29,100879000,25929
